DATE,SYMBOL,SERIES,LAST_PRICE,LOWER_BAND,UPPER_BAND,BAND_PCT,BAND_LABEL,ASM_CODE,ASM_TYPE,ASM_STAGE,ASM_LABEL
2026-05-17,RAYMONDLSL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RBA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RBMINFRA,SM,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,RBZJEWEL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RCDL,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RCF,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,READYMIX,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,REDINGTON,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REDTAPE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REFEX,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REGENCERAM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RELAXO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RELCHEMQ,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RELIABLE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RELIGARE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RELTD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REMSONSIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REMUS,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RENUKA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REPCOHOME,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,REPRO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RESPONIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RETAIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RGL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RHETAN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RHIM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RHL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RICOAUTO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RIIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RIIT,IV,0,0,0,20,20%,0,NONE,,
2026-05-17,RILINFRA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RISHABH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RITCO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RITES,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RKDL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RKFORGE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RKSWAMY,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RML,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RNFI,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,ROADSTAR,IV,0,0,0,20,20%,0,NONE,,
2026-05-17,ROHLTD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROLEXRINGS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROML,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROSSARI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROSSELLIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROSSTECH,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,ROTO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROUTE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,ROYALARC,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RPEL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RPGLIFE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RPOWER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RPPINFRA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RPPL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RPTECH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RRIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RRKABEL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RSDFIN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RSL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RSWM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RSYSTEMS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RTNINDIA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RTNPOWER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RUBFILA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RUBICON,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RUBYMILLS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RUCHIRA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RULKA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RUPA,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,RUSHIL,EQ,0,0,0,20,20%,0,NONE,,
