DATE,SYMBOL,COMPANY_NAME,ISIN,TYPE,STAGE,STAGE_CODE,LABEL,AS_OF_DATE,CIRC_REVISION
2026-05-15,RAIN,"Rain Industries Limited",INE855B01025,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,RAJOOENG,"Rajoo Engineers Limited",INE535F01024,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,RAYMONDREL,"Raymond Realty Limited",INE1SY401010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,RBMINFRA,"Rbm Infracon Limited",INE0NA301016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,RUCHINFRA,"Ruchi Infrastructure Limited",INE413B01023,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,RUPA,"Rupa & Company Limited",INE895B01021,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SAHAJSOLAR,"Sahaj Solar Limited",INE0P4701011,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SAIFL,"Sameera Agro And Infra Limited",INE0PZA01015,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SAMAY,"Samay Project Services Limited",INE124101010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SASKEN,"Sasken Technologies Limited",INE231F01020,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SBCL,"Shivalik Bimetal Controls Limited",INE386D01027,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SDREAMS,"S D Retail Limited",INE0X6F01017,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SHAILY,"Shaily Engineering Plastics Limited",INE151G01028,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SHANTI,"Shanti Overseas (India) Limited",INE933X01016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SHRADHA,"Shradha Realty Limited",INE715Y01031,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SHYAMDHANI,"Shyam Dhani Industries Limited",INE1CRP01016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SIMPLEXINF,"Simplex Infrastructures Limited",INE059B01024,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SMARTLINK,"Smartlink Holdings Limited",INE178C01020,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SONUINFRA,"Sonu Infratech Limited",INE0JZA01018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SPEB,"Speb Adhesives Limited",INE1CW901027,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SPECTRUM,"Spectrum Electrical Industries Limited",INE01EO01010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SPLIL,"SPL Industries Limited",INE978G01016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,STALLION,"Stallion India Fluorochemicals Limited",INE0RYC01010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,STERTOOLS,"Sterling Tools Limited",INE334A01023,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,STLNETWORK,"STL Networks Limited",INE1VXE01018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,STYLEBAAZA,"Baazar Style Retail Limited",INE01FR01028,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SUTLEJTEX,"Sutlej Textiles and Industries Limited",INE645H01027,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,SYNOPTICS,"Synoptics Technologies Limited",INE0BTR01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,TAMBOLIIN,"Tamboli Industries Limited",INE864J01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,TEJASNET,"Tejas Networks Limited",INE010J01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,THAKDEV,"Thakkers Developers Limited",INE403F01017,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,UNIDT,"United Drilling Tools Limited",INE961D01019,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,UNIMECH,"Unimech Aerospace and Manufacturing Limited",INE0U3I01011,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,UNITECH,"Unitech Limited",INE694A01020,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,UNIVCABLES,"Universal Cables Limited",INE279A01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,UTLSOLAR,"Fujiyama Power Systems Limited",INE12UR01024,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VAKRANGEE,"Vakrangee Limited",INE051B01021,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VENUSPIPES,"Venus Pipes & Tubes Limited",INE0JA001018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VERANDA,"Veranda Learning Solutions Limited",INE0IQ001011,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VGINFOTECH,"Virtual Galaxy Infotech Limited",INE0VRH01015,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VINDHYATEL,"Vindhya Telelinks Limited",INE707A01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VISHWAS,"Vishwas Agri Seeds Limited",INE0S2E01016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,VMARCIND,"V Marc India Limited",INE0GXK01018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,WALCHANNAG,"Walchandnagar Industries Limited",INE711A01022,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ZENITHSTL,"Zenith Steel Pipes & Industries Limited",INE318D01020,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,RADIOWALLA,"Radiowalla Network Limited",INE430U01019,STASM,II,12,STASM-II,15-May-2026,12
2026-05-15,WEBELSOLAR,"Websol Energy System Limited",INE855C01023,STASM,II,12,STASM-II,15-May-2026,12
2026-05-15,WEL,"Wonder Electricals Limited",INE02WG01024,STASM,II,12,STASM-II,15-May-2026,12
2026-05-15,21STCENMGM,"21st Century Management Services Limited",INE253B01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AARTECH,"Aartech Solonics Limited",INE01C001026,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ADL,"Archidply Decor Limited",INE0CHO01012,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AEROFLEX,"Aeroflex Industries Limited",INE024001021,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AERONEU,"Aeroflex Neu Limited",INE035801013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AGNI,"Agni Green Power Limited",INE0LF301013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AIRAN,"Airan Limited",INE645W01026,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AKSHAR,"Akshar Spintex Limited",INE256Z01025,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AKSHARCHEM,"AksharChem India Limited",INE542B01011,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ALKALI,"Alkali Metals Limited",INE773I01017,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ALPHAGEO,"Alphageo (India) Limited",INE137C01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AMDIND,"AMD Industries Limited",INE005I01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ANONDITA,"Anondita Medicare Limited",INE0VTV01012,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AQYLON,"Aqylon Nexus Limited",INE416A01051,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ARFIN,"Arfin India Limited",INE784R01023,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ARIHANT,"Arihant Foundations & Housing Limited",INE413D01011,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,AROGRANITE,"Aro Granite Industries Limited",INE210C01013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ATLASCYCLE,"Atlas Cycles (Haryana) Limited",INE446A01025,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,BAJAJCON,"Bajaj Consumer Care Limited",INE933K01021,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,BPL,"BPL Limited",INE110A01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,BVCL,"Barak Valley Cements Limited",INE139I01011,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,CMNL,"Chaman Metallics Limited",INE06PV01010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,COHANCE,"Cohance Lifesciences Limited",INE03QK01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,CONFIPET,"Confidence Petroleum India Limited",INE552D01024,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,COUNCODOS,"Country Condo's Limited",INE695B01025,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,CUPID,"Cupid Limited",INE509F01029,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DANGEE,"Dangee Dums Limited",INE688Y01022,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DCMNVL,"DCM Nouvelle Limited",INE08KP01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DEEDEV,"DEE Development Engineers Limited",INE841L01016,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DELPHIFX,"DELPHI WORLD MONEY LIMITED",INE726L01027,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DELTAMAGNT,"Delta Manufacturing Limited",INE393A01011,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DENTALKART,"Vasa Denticity Limited",INE0N5801013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DEVX,"Dev Accelerator Limited",INE0VOV01021,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DHTL,"Docmode Health Technologies Limited",INE0OGG01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DIAMINESQ,"Diamines & Chemicals Limited",INE591D01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DIGIKORE,"Digikore Studios Limited",INE0QJ901011,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DPEL,"Divine Power Energy Limited",INE0SCO01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,DSFCL,"DCM Shriram Fine Chemicals Limited",INE0OFM01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ELGIRUBCO,"Elgi Rubber Company Limited",INE819L01012,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ESSENTIA,"Integra Essentia Limited",INE418N01035,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,FALCONTECH,"Falcon Technoprojects India Limited",INE0PQK01013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,FMNL,"Future Market Networks Limited",INE360L01017,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,GALLANTT,"Gallantt Ispat Limited",INE297H01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,GLOBALVECT,"Global Vectra Helicorp Limited",INE792H01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,GOACARBON,"Goa Carbon Limited",INE426D01013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,GREENCHEF,"Greenchef Appliances Limited",INE0O7P01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,GUJALKALI,"Gujarat Alkalies and Chemicals Limited",INE186A01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,GVT&D,"GE Vernova T&D India Limited",INE200A01026,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,HFCL,"HFCL Limited",INE548A01028,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,HGM,"HandsOn Global Management (HGM) Limited",INE596H01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,HINDCOPPER,"Hindustan Copper Limited",INE531E01026,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,HOACFOODS,"Hoac Foods India Limited",INE0S6S01017,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,HOMESFY,"Homesfy Realty Limited",INE0N7F01017,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,IBLFL,"IBL Finance Limited",INE0O7401018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,IBULLSLTD,"Indiabulls Limited",INE126M01010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,IITL,"Industrial Investment Trust Limited",INE886A01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,INDOTECH,"Indo Tech Transformers Limited",INE332H01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,IRMENERGY,"IRM Energy Limited",INE07U701015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ISHANCH,"Ishan Dyes and Chemicals Limited",INE561M01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,JAINAM,"Jainam Ferro Alloys (I) Limited",INE02KC01010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,JALAN,"Jalan Transolutions (India) Limited",INE349X01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,JINDALPOLY,"Jindal Poly Films Limited",INE197D01010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,KCK,"Kck Industries Limited",INE0J1E01027,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,KHADIM,"Khadim India Limited",INE834I01025,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,KHANDSE,"Khandwala Securities Limited",INE060B01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,KMEW,"Knowledge Marine & Engineering Works Limited",INE0CJD01029,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,KOTYARK,"Kotyark Industries Limited",INE0J0B01017,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,KRN,"KRN Heat Exchanger and Refrigeration Limited",INE0Q3J01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,LAL,"Lorenzini Apparels Limited",INE740X01023,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,LGHL,"Laxmi Goldorna House Limited",INE258Y01016,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,LUMAXIND,"Lumax Industries Limited",INE162B01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,LYPSAGEMS,"Lypsa Gems & Jewellery Limited",INE142K01011,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MADHAV,"Madhav Marbles and Granites Limited",INE925C01016,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MEDICAMEQ,"Medicamen Biotech Limited",INE646B01010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MOHITIND,"Mohit Industries Limited",INE954E01012,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MOTOGENFIN,"The Motor & General Finance Limited",INE861B01023,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MTARTECH,"Mtar Technologies Limited",INE864I01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MUKTAARTS,"Mukta Arts Limited",INE374B01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,MVKAGRO,"M.V.K. Agro Food Product Limited",INE0SGC01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NAMAN,"Naman Industries Proxima Limited",INE0RJM01010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NAMOEWASTE,"Namo eWaste Management Limited",INE08NZ01012,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NDLVENTURE,"NDL Ventures Limited",INE353A01023,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NEPHROCARE,"Nephro Care India Limited",INE0SUN01013,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NGIL,"Nakoda Group of Industries Limited",INE236Y01012,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NIPPOBATRY,"Indo-National Limited",INE567A01028,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,NKIND,"NK Industries Limited",INE542C01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,OMNI,"Omnitech Engineering Limited",INE0UH301010,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ONELIFECAP,"Onelife Capital Advisors Limited",INE912L01015,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ORIENTBELL,"Orient Bell Limited",INE607D01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,PAKKA,"PAKKA LIMITED",INE551D01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,PATTECH,"Pattech Fitwell Tube Components Limited",INE0NZW01014,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,PILITA,"PIL ITALICA LIFESTYLE LIMITED",INE600A01035,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,PIONEEREMB,"Pioneer Embroideries Limited",INE156C01018,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,PRECWIRE,"Precision Wires India Limited",INE372C01037,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,QPOWER,"Quality Power Electrical Equipments Limited",INE0SII01026,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,RADAAN,"Radaan Mediaworks India Limited",INE874F01027,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,RAJSREESUG,"Rajshree Sugars & Chemicals Limited",INE562B01019,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,RAMASTEEL,"Rama Steel Tubes Limited",INE230R01035,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,RMDRIP,"R M Drip and Sprinklers Systems Limited",INE219Y01026,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,ROSSTECH,"Rossell Techsys Limited",INE0OJW01016,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,SAAKSHI,"Saakshi Medtech and Panels Limited",INE0PSK01027,LTASM,I,21,LTASM-I,15-May-2026,13
2026-05-15,SATIPOLY,"Sati Poly Plast Limited",INE0RPM01017,LTASM,I,21,LTASM-I,15-May-2026,13
