symbol,isin,type,stage,stageCode
DYCL,INE600Y01019,STASM,I,11
HLVLTD,INE102A01024,STASM,I,11
ARFIN,INE784R01023,LTASM,I,21
GALLANTT,INE297H01019,LTASM,I,21
BVCL,INE139I01011,LTASM,I,21
DBREALTY,INE879I01012,STASM,I,11
DSFCL,INE0OFM01015,LTASM,I,21
MOTOGENFIN,INE861B01023,LTASM,I,21
DAMODARIND,INE497D01022,STASM,I,11
AROGRANITE,INE210C01013,LTASM,I,21
SHYAMCENT,INE979R01011,LTASM,I,21
SDREAMS,INE0X6F01017,STASM,I,11
RAIN,INE855B01025,STASM,I,11
UNIDT,INE961D01019,STASM,I,11
NEOGEN,INE136S01016,STASM,I,11
VMARCIND,INE0GXK01018,STASM,I,11
CMNL,INE06PV01010,LTASM,I,21
KMEW,INE0CJD01029,LTASM,I,21
RADAAN,INE874F01027,LTASM,I,21
IITL,INE886A01014,LTASM,I,21
KOTYARK,INE0J0B01017,LTASM,I,21
MITCON,INE828O01033,STASM,I,11
INA,INE0LGX01024,STASM,I,11
BPL,INE110A01019,LTASM,I,21
AEQUS,INE947N01017,STASM,I,11
PRAVEG,INE722B01019,STASM,I,11
AARTECH,INE01C001026,LTASM,I,21
HFCL,INE548A01028,LTASM,I,21
KRN,INE0Q3J01015,LTASM,I,21
TRIGYN,INE948A01012,LTASM,I,21
SHEMAROO,INE363M01019,LTASM,I,21
DANGEE,INE688Y01022,LTASM,I,21
PAKKA,INE551D01018,LTASM,I,21
MIRCELECTR,INE831A01028,STASM,I,11
SAAKSHI,INE0PSK01027,LTASM,I,21
DHTL,INE0OGG01015,LTASM,I,21
MVKAGRO,INE0SGC01015,LTASM,I,21
AQYLON,INE416A01051,LTASM,I,21
SAHAJSOLAR,INE0P4701011,STASM,I,11
SHARDUL,INE037B01020,LTASM,I,21
ISHANCH,INE561M01018,LTASM,I,21
PML,INE291E01019,STASM,I,11
BAJAJCON,INE933K01021,LTASM,I,21
QPOWER,INE0SII01026,LTASM,I,21
ANONDITA,INE0VTV01012,LTASM,I,21
KCK,INE0J1E01027,LTASM,I,21
KONTOR,INE0KZ301010,STASM,I,11
AUTOIND,INE718H01014,STASM,I,11
DIGIKORE,INE0QJ901011,LTASM,I,21
PARAGON,INE0N4G01012,STASM,I,11
RAYMONDREL,INE1SY401010,STASM,I,11
